         1920208 function calls (1889728 primitive calls) in 2.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      970    0.001    0.000    0.006    0.000 _builtins.py:188(_register_builtin)
     4386    0.001    0.000    0.009    0.000 tokenize.py:458(tokenize)
      823    0.001    0.000    0.004    0.000 {built-in method fromkeys}
  986/774    0.001    0.000    0.005    0.000 _pytree.py:845(_tree_flatten_helper)
      241    0.001    0.000    0.050    0.000 _compiler.py:738(compile)
     1084    0.001    0.000    0.002    0.000 __init__.py:102(find_spec)
     4011    0.001    0.000    0.002    0.000 inspect.py:966(<genexpr>)
      724    0.001    0.000    0.008    0.000 inspect.py:2809(__str__)
     2148    0.001    0.000    0.001    0.000 {built-in method torch._C.get}
     3562    0.001    0.000    0.009    0.000 <frozen abc>:117(__instancecheck__)
     3067    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      948    0.001    0.000    0.002    0.000 {method 'extend' of 'list' objects}
     1017    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
       74    0.001    0.000    0.018    0.000 __init__.py:1399(_preprocess_data)
      568    0.001    0.000    0.018    0.000 typing.py:1658(copy_with)
     1547    0.001    0.000    0.002    0.000 enum.py:77(_is_private)
      241    0.001    0.000    0.004    0.000 _compiler.py:509(_compile_info)
     1375    0.001    0.000    0.006    0.000 package_importer.py:726(_patched_getfile)
      140    0.001    0.000    0.070    0.001 inspect.py:1052(findsource)
      543    0.001    0.000    0.057    0.000 __init__.py:178(decomposition_decorator)
     2052    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:645(parent)
      260    0.001    0.000    0.003    0.000 inspect.py:2091(_signature_bound_method)
     3470    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
      811    0.001    0.000    0.014    0.000 traceback.py:367(line)
     5482    0.001    0.000    0.001    0.000 typing.py:1427(<genexpr>)
      461    0.001    0.000    0.004    0.000 copy.py:62(copy)
      976    0.001    0.000    0.028    0.000 __init__.py:715(__setitem__)
     4785    0.001    0.000    0.001    0.000 {built-in method builtins.id}
     2072    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:632(cached)
      169    0.001    0.000    0.009    0.000 typing.py:1748(__getitem__)
       93    0.001    0.000    0.001    0.000 {method 'intersection_update' of 'set' objects}
      334    0.001    0.000    0.004    0.000 inspect.py:811(_finddoc)
     2704    0.001    0.000    0.002    0.000 typing.py:1765(__eq__)
   133/94    0.001    0.000    0.001    0.000 fake_impls.py:107(contains_tensor_types)
      265    0.001    0.000    0.007    0.000 overrides.py:142(decorator)
     2832    0.001    0.000    0.002    0.000 _parser.py:175(append)
      113    0.001    0.000    0.003    0.000 utils.py:289(has_kwarg_only_tensors)
   306/12    0.001    0.000    0.006    0.001 core.py:810(_parseNoCache)
     1084    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
       37    0.001    0.000    0.002    0.000 __init__.py:334(__new__)
     1080    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
      439    0.001    0.000    0.003    0.000 wrappers.py:220(out_wrapper)
       13    0.001    0.000    0.006    0.000 enum.py:887(_convert_)
     1095    0.001    0.000    0.001    0.000 _pytree.py:654(_is_namedtuple_instance)
     2066    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      113    0.001    0.000    0.102    0.001 fake_impl.py:19(register)
      100    0.001    0.000    0.012    0.000 __init__.py:508(_make_inplace)
     1080    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:1128(find_spec)
     5681    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      152    0.001    0.000    0.003    0.000 <frozen zipimport>:68(__init__)
      679    0.001    0.000    0.006    0.000 __init__.py:183(sub)
     2411    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      785    0.001    0.000    0.001    0.000 traceback.py:376(walk_stack)
      591    0.001    0.000    0.001    0.000 dataclasses.py:383(field)
      119    0.001    0.000    0.026    0.000 _docstring.py:66(__call__)
      446    0.001    0.000    0.008    0.000 autograd.py:99(<genexpr>)
     33/1    0.001    0.000    0.003    0.003 __init__.py:947(_import_extension_to_sys_modules)
      275    0.001    0.000    0.021    0.000 typing.py:806(Optional)
      241    0.001    0.000    0.030    0.000 _parser.py:970(parse)
     4360    0.001    0.000    0.001    0.000 artist.py:1565(<genexpr>)
     1100    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:420(__exit__)
      239    0.001    0.000    0.001    0.000 weakref.py:568(__init__)
     4492    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:158(__init__)
      169    0.001    0.000    0.009    0.000 colors.py:322(_to_rgba_no_colorcycle)
      753    0.001    0.000    0.004    0.000 inspect.py:1997(_signature_get_user_defined_method)
     5399    0.001    0.000    0.001    0.000 {method 'clear' of 'dict' objects}
      528    0.001    0.000    0.001    0.000 inspect.py:1799(_shadowed_dict)
       86    0.001    0.000    0.256    0.003 _ops.py:284(fallthrough)
  919/644    0.001    0.000    0.054    0.000 typing.py:574(__getitem__)
        1    0.001    0.001    0.001    0.001 {built-in method torch._C._autograd_init}
     1524    0.001    0.000    0.001    0.000 enum.py:46(_is_dunder)
      233    0.001    0.000    0.002    0.000 enum.py:1592(__and__)
      311    0.001    0.000    0.003    0.000 function_base.py:505(add_newdoc)
      543    0.001    0.000    0.004    0.000 __init__.py:150(register_decomposition)
